"DateTime";"DUQUE DE CAXIAS - XEREM"
"2021-05-26 12:00:00";38
"2021-05-26 13:00:00";215
"2021-05-26 14:00:00";216
"2021-05-26 15:00:00";288
"2021-05-26 16:00:00";1
"2021-05-26 17:00:00";237
"2021-05-26 18:00:00";266
"2021-05-26 19:00:00";178
"2021-05-26 20:00:00";118
"2021-05-26 21:00:00";103
"2021-05-26 22:00:00";120
"2021-05-26 23:00:00";198
"2021-05-27 00:00:00";24
"2021-05-27 01:00:00";236
"2021-05-27 02:00:00";42
"2021-05-27 03:00:00";237
"2021-05-27 04:00:00";98
"2021-05-27 05:00:00";164
"2021-05-27 06:00:00";133
"2021-05-27 07:00:00";107
"2021-05-27 08:00:00";143
"2021-05-27 09:00:00";145
"2021-05-27 10:00:00";184
"2021-05-27 11:00:00";117
"2021-05-27 12:00:00";125
"2021-05-27 13:00:00";272
"2021-05-27 14:00:00";214
"2021-05-27 15:00:00";254
"2021-05-27 16:00:00";208
"2021-05-27 17:00:00";139
"2021-05-27 18:00:00";206
"2021-05-27 19:00:00";123
"2021-05-27 20:00:00";149
"2021-05-27 21:00:00";61
"2021-05-27 22:00:00";109
"2021-05-27 23:00:00";152
"2021-05-28 00:00:00";119
"2021-05-28 01:00:00";116
"2021-05-28 02:00:00";137
"2021-05-28 03:00:00";121
"2021-05-28 04:00:00";120
"2021-05-28 05:00:00";120
"2021-05-28 06:00:00";161
"2021-05-28 07:00:00";119
"2021-05-28 08:00:00";123
"2021-05-28 09:00:00";123
"2021-05-28 10:00:00";96
"2021-05-28 11:00:00";6
"2021-05-28 12:00:00";292
"2021-05-28 13:00:00";284
"2021-05-28 14:00:00";294
"2021-05-28 15:00:00";277
"2021-05-28 16:00:00";183
"2021-05-28 17:00:00";254
"2021-05-28 18:00:00";174
"2021-05-28 19:00:00";223
"2021-05-28 20:00:00";240
"2021-05-28 21:00:00";217
"2021-05-28 22:00:00";148
"2021-05-28 23:00:00";183
"2021-05-29 00:00:00";306
"2021-05-29 01:00:00";57
"2021-05-29 02:00:00";59
"2021-05-29 03:00:00";71
"2021-05-29 04:00:00";90
"2021-05-29 05:00:00";115
"2021-05-29 06:00:00";104
"2021-05-29 07:00:00";100
"2021-05-29 08:00:00";103
"2021-05-29 09:00:00";114
"2021-05-29 10:00:00";105
"2021-05-29 11:00:00";83
"2021-05-29 12:00:00";69
"2021-05-29 13:00:00";75
"2021-05-29 14:00:00";30
"2021-05-29 15:00:00";179
"2021-05-29 16:00:00";348
"2021-05-29 17:00:00";6
"2021-05-29 18:00:00";50
"2021-05-29 19:00:00";64
"2021-05-29 20:00:00";130
"2021-05-29 21:00:00";102
"2021-05-29 22:00:00";141
"2021-05-29 23:00:00";212
"2021-05-30 00:00:00";96
"2021-05-30 01:00:00";113
